Model,ROI,nLayers,evalMode,sim_method,vibrField,Aus_way,kAus_1,kAus_2,kAus_con,Amp_1,Amp_2,Amp_3,Amp_4,Amp_5,Totaldps_1,Totaldps_2,dps_run_1,dps_run_2,Settings_1,Settings_2,Settings_3,Settings_4,Settings_5,Settings_6,Settings_7,Settings_8,Settings_9,Settings_10,Settings_11,Settings_12,Settings_13,Settings_14,Settings_15,Settings_16,SettingsStr,calcStrengthCurve,maxTime,fus,meanI,stdI,dpDistribution,dpOrientation,dpI_space,dpI_time
human_scalp,Deep,3,pcwica,single_sim_totaldps,none,kexp,568.800120565085,568.800120565085,Totaldps,1e-05,0.0001,0.001,0.01,,100,1000,20,20,fus,1000000,meanI,10,stdI,3,dpDistribution,fibonaccimultiple,dpOrientation,radial,dpI_space,normal,dpI_time,artificialPSD_fixed,nLayers,3,Settingset: 1,1,86040,1000000,10,3,fibonaccimultiple,radial,normal,artificialPSD_fixed
human_scalp,Deep,5,pcwica,single_sim_totaldps,none,kexp,850.554567045483,850.554567045483,Totaldps,1e-06,1e-05,0.0001,0.001,0.01,100,1000,20,20,fus,1000000,meanI,10,stdI,3,dpDistribution,fibonaccimultiple,dpOrientation,radial,dpI_space,normal,dpI_time,artificialPSD_fixed,nLayers,5,Settingset: 2,1,86040,1000000,10,3,fibonaccimultiple,radial,normal,artificialPSD_fixed
human_scalp,Deep,10,pcwica,single_sim_totaldps,none,kexp,1406.46946277934,1406.46946277934,Totaldps,1e-05,0.0001,0.001,0.01,,100,1000,20,20,fus,1000000,meanI,10,stdI,3,dpDistribution,fibonaccimultiple,dpOrientation,radial,dpI_space,normal,dpI_time,artificialPSD_fixed,nLayers,10,Settingset: 3,1,86040,1000000,10,3,fibonaccimultiple,radial,normal,artificialPSD_fixed
human_scalp,Cortex,3,pcwica,single_sim_totaldps,none,kexp,20000,20000,Totaldps,1e-07,1e-06,1e-05,0.0001,,100,1000,20,20,fus,1000000,meanI,10,stdI,3,dpDistribution,fibonaccimultiple,dpOrientation,radial,dpI_space,normal,dpI_time,artificialPSD_fixed,nLayers,3,Settingset: 4,1,86040,1000000,10,3,fibonaccimultiple,radial,normal,artificialPSD_fixed
human_scalp,Cortex,5,pcwica,single_sim_totaldps,none,kexp,8433.93006857164,8433.93006857164,Totaldps,1e-07,1e-06,1e-05,0.0001,0.001,100,1000,20,20,fus,1000000,meanI,10,stdI,3,dpDistribution,fibonaccimultiple,dpOrientation,radial,dpI_space,normal,dpI_time,artificialPSD_fixed,nLayers,5,Settingset: 5,1,86040,1000000,10,3,fibonaccimultiple,radial,normal,artificialPSD_fixed
human_scalp,Cortex,10,pcwica,single_sim_totaldps,none,kexp,11246.826503807,11246.826503807,Totaldps,1e-07,1e-06,1e-05,0.0001,,100,1000,20,20,fus,1000000,meanI,10,stdI,3,dpDistribution,fibonaccimultiple,dpOrientation,radial,dpI_space,normal,dpI_time,artificialPSD_fixed,nLayers,10,Settingset: 6,1,86040,1000000,10,3,fibonaccimultiple,radial,normal,artificialPSD_fixed
human_cortical,Deep,3,pcwica,single_sim_totaldps,none,kexp,568.800120565085,568.800120565085,Totaldps,1e-06,1e-05,0.0001,0.001,0.01,100,1000,20,20,fus,1000000,meanI,10,stdI,3,dpDistribution,fibonaccimultiple,dpOrientation,radial,dpI_space,normal,dpI_time,artificialPSD_fixed,nLayers,3,Settingset: 7,1,86040,1000000,10,3,fibonaccimultiple,radial,normal,artificialPSD_fixed
human_cortical,Deep,5,pcwica,single_sim_totaldps,none,kexp,808.833942887138,808.833942887138,Totaldps,1e-06,1e-05,0.0001,0.001,0.01,100,1000,20,20,fus,1000000,meanI,10,stdI,3,dpDistribution,fibonaccimultiple,dpOrientation,radial,dpI_space,normal,dpI_time,artificialPSD_fixed,nLayers,5,Settingset: 8,1,86040,1000000,10,3,fibonaccimultiple,radial,normal,artificialPSD_fixed
human_cortical,Deep,10,pcwica,single_sim_totaldps,none,kexp,1479.01684331749,1479.01684331749,Totaldps,1e-06,1e-05,0.0001,0.001,0.01,100,1000,20,20,fus,1000000,meanI,10,stdI,3,dpDistribution,fibonaccimultiple,dpOrientation,radial,dpI_space,normal,dpI_time,artificialPSD_fixed,nLayers,10,Settingset: 9,1,86040,1000000,10,3,fibonaccimultiple,radial,normal,artificialPSD_fixed
human_cortical,Cortex,3,pcwica,single_sim_totaldps,none,kexp,11246.826503807,11246.826503807,Totaldps,1e-09,1e-08,1e-07,1e-06,1e-05,100,1000,20,20,fus,1000000,meanI,10,stdI,3,dpDistribution,fibonaccimultiple,dpOrientation,radial,dpI_space,normal,dpI_time,artificialPSD_fixed,nLayers,3,Settingset: 10,1,86040,1000000,10,3,fibonaccimultiple,radial,normal,artificialPSD_fixed
