Model,ROI,nLayers,evalMode,sim_method,vibrField,Aus_way,kAus_1,kAus_2,kAus_3,kAus_4,kAus_5,kAus_6,kAus_7,kAus_8,kAus_9,kAus_con,Amp_1,Amp_2,Amp_3,Amp_4,Amp_5,Amp_6,Totaldps_1,Totaldps_2,Totaldps_3,Totaldps_4,Totaldps_5,Totaldps_6,Totaldps_7,Totaldps_8,Totaldps_9,dps_run_1,dps_run_2,dps_run_3,dps_run_4,dps_run_5,dps_run_6,dps_run_7,dps_run_8,dps_run_9,Settings_1,Settings_2,Settings_3,Settings_4,Settings_5,Settings_6,Settings_7,Settings_8,Settings_9,Settings_10,Settings_11,Settings_12,Settings_13,Settings_14,Settings_15,Settings_16,SettingsStr,calcStrengthCurve,maxTime,fus,meanI,stdI,dpDistribution,dpOrientation,dpI_space,dpI_time
human_scalp,Deep,3,hpc,single_sim_totaldps,art,kexp,40.8248290463863,84.0896415253714,141.42135623731,175.62521603733,200,191.520656139715,244.56890899877,270.449928820813,299.069756244244,Totaldps,1e-09,1e-08,1e-07,1e-06,1e-05,0.0001,10,30,100,300,1000,3000,10000,30000,100000,10,30,40,40,40,40,40,40,40,fus,1000000,meanI,10,stdI,3,dpDistribution,fibonaccimultiple,dpOrientation,radial,dpI_space,normal,dpI_time,artificialPSD,nLayers,3,Settingset: 1,1,86040,1000000,10,3,fibonaccimultiple,radial,normal,artificialPSD
human_scalp,Deep,5,hpc,single_sim_totaldps,art,kexp,40.8248290463863,59.460355750136,104.427378242741,210.316239699195,314.496132705222,299.069756244244,314.496132705222,384.579880300243,425.277283522742,Totaldps,1e-09,1e-08,1e-07,1e-06,1e-05,0.0001,10,30,100,300,1000,3000,10000,30000,100000,10,30,40,40,40,40,40,40,40,fus,1000000,meanI,10,stdI,3,dpDistribution,fibonaccimultiple,dpOrientation,radial,dpI_space,normal,dpI_time,artificialPSD,nLayers,5,Settingset: 2,1,86040,1000000,10,3,fibonaccimultiple,radial,normal,artificialPSD
human_scalp,Deep,10,hpc,single_sim_totaldps,art,kexp,40.8248290463863,64.8419777325505,95.7603280698574,144.518080697705,347.77706231243,494.539087432703,575.081055289171,635.937867596803,668.740304976422,Totaldps,1e-09,1e-08,1e-07,1e-06,1e-05,0.0001,10,30,100,300,1000,3000,10000,30000,100000,10,30,40,40,40,40,40,40,40,fus,1000000,meanI,10,stdI,3,dpDistribution,fibonaccimultiple,dpOrientation,radial,dpI_space,normal,dpI_time,artificialPSD,nLayers,10,Settingset: 3,1,86040,1000000,10,3,fibonaccimultiple,radial,normal,artificialPSD
human_scalp,Cortex,3,hpc,single_sim_totaldps,art,kexp,33.3333333333333,33.3333333333333,138.390988196383,347.77706231243,520.048006265588,739.508421658747,2371.37370566166,4216.96503428582,10000,Totaldps,1e-09,1e-08,1e-07,1e-06,1e-05,0.0001,10,30,100,300,1000,3000,10000,30000,100000,10,30,40,40,40,40,40,40,40,fus,1000000,meanI,10,stdI,3,dpDistribution,fibonaccimultiple,dpOrientation,radial,dpI_space,normal,dpI_time,artificialPSD,nLayers,3,Settingset: 4,1,86040,1000000,10,3,fibonaccimultiple,radial,normal,artificialPSD
human_scalp,Cortex,5,hpc,single_sim_totaldps,art,kexp,33.3333333333333,33.3333333333333,33.3333333333333,257.184066439781,447.213595499958,904.303839402412,1539.92652605949,4216.96503428582,5623.41325190349,Totaldps,1e-09,1e-08,1e-07,1e-06,1e-05,0.0001,10,30,100,300,1000,3000,10000,30000,100000,10,30,40,40,40,40,40,40,40,fus,1000000,meanI,10,stdI,3,dpDistribution,fibonaccimultiple,dpOrientation,radial,dpI_space,normal,dpI_time,artificialPSD,nLayers,5,Settingset: 5,1,86040,1000000,10,3,fibonaccimultiple,radial,normal,artificialPSD
human_scalp,Cortex,10,hpc,single_sim_totaldps,art,kexp,33.3333333333333,33.3333333333333,33.3333333333333,157.598084510789,232.572538714618,575.081055289171,1539.92652605949,2053.52502645715,4216.96503428582,Totaldps,1e-09,1e-08,1e-07,1e-06,1e-05,0.0001,10,30,100,300,1000,3000,10000,30000,100000,10,30,40,40,40,40,40,40,40,fus,1000000,meanI,10,stdI,3,dpDistribution,fibonaccimultiple,dpOrientation,radial,dpI_space,normal,dpI_time,artificialPSD,nLayers,10,Settingset: 6,1,86040,1000000,10,3,fibonaccimultiple,radial,normal,artificialPSD
human_cortical,Deep,3,hpc,single_sim_totaldps,art,kexp,39.8032625328239,78.7990422553943,135.425554693689,175.62521603733,200,195.71441241754,244.56890899877,257.184066439781,299.069756244244,Totaldps,1e-09,1e-08,1e-07,1e-06,1e-05,0.0001,10,30,100,300,1000,3000,10000,30000,100000,10,30,40,40,40,40,40,40,40,fus,1000000,meanI,10,stdI,3,dpDistribution,fibonaccimultiple,dpOrientation,radial,dpI_space,normal,dpI_time,artificialPSD,nLayers,3,Settingset: 7,1,86040,1000000,10,3,fibonaccimultiple,radial,normal,artificialPSD
human_cortical,Deep,5,hpc,single_sim_totaldps,art,kexp,50,72.2590403488523,135.425554693689,210.316239699195,314.496132705222,299.069756244244,314.496132705222,384.579880300243,425.277283522742,Totaldps,1e-09,1e-08,1e-07,1e-06,1e-05,0.0001,10,30,100,300,1000,3000,10000,30000,100000,10,30,40,40,40,40,40,40,40,fus,1000000,meanI,10,stdI,3,dpDistribution,fibonaccimultiple,dpOrientation,radial,dpI_space,normal,dpI_time,artificialPSD,nLayers,5,Settingset: 8,1,86040,1000000,10,3,fibonaccimultiple,radial,normal,artificialPSD
human_cortical,Deep,10,hpc,single_sim_totaldps,art,kexp,50,66.2618321579871,113.878863475669,141.42135623731,330.718220152507,494.539087432703,575.081055289171,635.937867596803,668.740304976422,Totaldps,1e-09,1e-08,1e-07,1e-06,1e-05,0.0001,10,30,100,300,1000,3000,10000,30000,100000,10,30,40,40,40,40,40,40,40,fus,1000000,meanI,10,stdI,3,dpDistribution,fibonaccimultiple,dpOrientation,radial,dpI_space,normal,dpI_time,artificialPSD,nLayers,10,Settingset: 9,1,86040,1000000,10,3,fibonaccimultiple,radial,normal,artificialPSD
human_cortical,Cortex,3,hpc,single_sim_totaldps,art,kexp,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,200,604.744425353318,1154.78198468946,2371.37370566166,10000,Totaldps,1e-09,1e-08,1e-07,1e-06,1e-05,0.0001,10,30,100,300,1000,3000,10000,30000,100000,10,30,40,40,40,40,40,40,40,fus,1000000,meanI,10,stdI,3,dpDistribution,fibonaccimultiple,dpOrientation,radial,dpI_space,normal,dpI_time,artificialPSD,nLayers,3,Settingset: 10,1,86040,1000000,10,3,fibonaccimultiple,radial,normal,artificialPSD
human_cortical,Cortex,5,hpc,single_sim_totaldps,art,kexp,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,739.508421658747,1778.27941003892,2371.37370566166,4216.96503428582,Totaldps,1e-09,1e-08,1e-07,1e-06,1e-05,0.0001,10,30,100,300,1000,3000,10000,30000,100000,10,30,40,40,40,40,40,40,40,fus,1000000,meanI,10,stdI,3,dpDistribution,fibonaccimultiple,dpOrientation,radial,dpI_space,normal,dpI_time,artificialPSD,nLayers,5,Settingset: 11,1,86040,1000000,10,3,fibonaccimultiple,radial,normal,artificialPSD
human_cortical,Cortex,10,hpc,single_sim_totaldps,art,kexp,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,257.184066439781,1333.52143216332,1778.27941003892,2053.52502645715,Totaldps,1e-09,1e-08,1e-07,1e-06,1e-05,0.0001,10,30,100,300,1000,3000,10000,30000,100000,10,30,40,40,40,40,40,40,40,fus,1000000,meanI,10,stdI,3,dpDistribution,fibonaccimultiple,dpOrientation,radial,dpI_space,normal,dpI_time,artificialPSD,nLayers,10,Settingset: 12,1,86040,1000000,10,3,fibonaccimultiple,radial,normal,artificialPSD
human_air,Deep,3,hpc,single_sim_totaldps,art,kexp,40.8248290463863,77.110541270397,138.390988196383,171.861929812248,195.71441241754,187.41676341103,244.56890899877,257.184066439781,299.069756244244,Totaldps,1e-09,1e-08,1e-07,1e-06,1e-05,0.0001,10,30,100,300,1000,3000,10000,30000,100000,10,30,40,40,40,40,40,40,40,fus,1000000,meanI,10,stdI,3,dpDistribution,fibonaccimultiple,dpOrientation,radial,dpI_space,normal,dpI_time,artificialPSD,nLayers,3,Settingset: 13,1,86040,1000000,10,3,fibonaccimultiple,radial,normal,artificialPSD
human_air,Deep,5,hpc,single_sim_totaldps,art,kexp,40.8248290463863,59.460355750136,109.050773266526,221.164603406047,330.718220152507,299.069756244244,330.718220152507,404.416971443569,447.213595499958,Totaldps,1e-09,1e-08,1e-07,1e-06,1e-05,0.0001,10,30,100,300,1000,3000,10000,30000,100000,10,30,40,40,40,40,40,40,40,fus,1000000,meanI,10,stdI,3,dpDistribution,fibonaccimultiple,dpOrientation,radial,dpI_space,normal,dpI_time,artificialPSD,nLayers,5,Settingset: 14,1,86040,1000000,10,3,fibonaccimultiple,radial,normal,artificialPSD
human_air,Deep,10,hpc,single_sim_totaldps,art,kexp,40.8248290463863,64.8419777325505,95.7603280698574,147.68261459395,347.77706231243,494.539087432703,575.081055289171,668.740304976422,668.740304976422,Totaldps,1e-09,1e-08,1e-07,1e-06,1e-05,0.0001,10,30,100,300,1000,3000,10000,30000,100000,10,30,40,40,40,40,40,40,40,fus,1000000,meanI,10,stdI,3,dpDistribution,fibonaccimultiple,dpOrientation,radial,dpI_space,normal,dpI_time,artificialPSD,nLayers,10,Settingset: 15,1,86040,1000000,10,3,fibonaccimultiple,radial,normal,artificialPSD
human_air,Cortex,3,hpc,single_sim_totaldps,art,kexp,33.3333333333333,33.3333333333333,168.179283050743,365.715819995915,520.048006265588,777.653152345773,2371.37370566166,4216.96503428582,10000,Totaldps,1e-09,1e-08,1e-07,1e-06,1e-05,0.0001,10,30,100,300,1000,3000,10000,30000,100000,10,30,40,40,40,40,40,40,40,fus,1000000,meanI,10,stdI,3,dpDistribution,fibonaccimultiple,dpOrientation,radial,dpI_space,normal,dpI_time,artificialPSD,nLayers,3,Settingset: 16,1,86040,1000000,10,3,fibonaccimultiple,radial,normal,artificialPSD
human_air,Cortex,5,hpc,single_sim_totaldps,art,kexp,33.3333333333333,33.3333333333333,33.3333333333333,270.449928820813,470.281408739541,904.303839402412,1539.92652605949,4216.96503428582,5623.41325190349,Totaldps,1e-09,1e-08,1e-07,1e-06,1e-05,0.0001,10,30,100,300,1000,3000,10000,30000,100000,10,30,40,40,40,40,40,40,40,fus,1000000,meanI,10,stdI,3,dpDistribution,fibonaccimultiple,dpOrientation,radial,dpI_space,normal,dpI_time,artificialPSD,nLayers,5,Settingset: 17,1,86040,1000000,10,3,fibonaccimultiple,radial,normal,artificialPSD
human_air,Cortex,10,hpc,single_sim_totaldps,art,kexp,33.3333333333333,33.3333333333333,63.4525478595867,183.400808640934,257.184066439781,604.744425353318,1539.92652605949,2053.52502645715,4216.96503428582,Totaldps,1e-09,1e-08,1e-07,1e-06,1e-05,0.0001,10,30,100,300,1000,3000,10000,30000,100000,10,30,40,40,40,40,40,40,40,fus,1000000,meanI,10,stdI,3,dpDistribution,fibonaccimultiple,dpOrientation,radial,dpI_space,normal,dpI_time,artificialPSD,nLayers,10,Settingset: 18,1,86040,1000000,10,3,fibonaccimultiple,radial,normal,artificialPSD
