Model,ROI,nLayers,evalMode,sim_method,vibrField,Aus_way,kAus,kAus_con,Amp_1,Amp_2,Amp_3,Amp_4,Amp_5,Amp_6,Totaldps,dps_run,Settings_1,Settings_2,Settings_3,Settings_4,Settings_5,Settings_6,Settings_7,Settings_8,Settings_9,Settings_10,Settings_11,Settings_12,Settings_13,Settings_14,Settings_15,Settings_16,SettingsStr,calcStrengthCurve,maxTime,fus,meanI,stdI,dpDistribution,dpOrientation,dpI_space,dpI_time
human_scalp,Deep,3,hpc,single_sim_totaldps,art,kexp,299.069756244244,Totaldps,1e-09,1e-08,1e-07,1e-06,1e-05,0.0001,100000,40,fus,1000000,meanI,10,stdI,3,dpDistribution,fibonaccimultiple,dpOrientation,radial,dpI_space,normal,dpI_time,artificialPSD,nLayers,3,Settingset: 1,1,86040,1000000,10,3,fibonaccimultiple,radial,normal,artificialPSD
human_scalp,Deep,5,hpc,single_sim_totaldps,art,kexp,425.277283522742,Totaldps,1e-09,1e-08,1e-07,1e-06,1e-05,0.0001,100000,40,fus,1000000,meanI,10,stdI,3,dpDistribution,fibonaccimultiple,dpOrientation,radial,dpI_space,normal,dpI_time,artificialPSD,nLayers,5,Settingset: 2,1,86040,1000000,10,3,fibonaccimultiple,radial,normal,artificialPSD
human_scalp,Deep,10,hpc,single_sim_totaldps,art,kexp,668.740304976422,Totaldps,1e-09,1e-08,1e-07,1e-06,1e-05,0.0001,100000,40,fus,1000000,meanI,10,stdI,3,dpDistribution,fibonaccimultiple,dpOrientation,radial,dpI_space,normal,dpI_time,artificialPSD,nLayers,10,Settingset: 3,1,86040,1000000,10,3,fibonaccimultiple,radial,normal,artificialPSD
human_scalp,Cortex,3,hpc,single_sim_totaldps,art,kexp,10000,Totaldps,1e-09,1e-08,1e-07,1e-06,1e-05,0.0001,100000,40,fus,1000000,meanI,10,stdI,3,dpDistribution,fibonaccimultiple,dpOrientation,radial,dpI_space,normal,dpI_time,artificialPSD,nLayers,3,Settingset: 4,1,86040,1000000,10,3,fibonaccimultiple,radial,normal,artificialPSD
human_scalp,Cortex,5,hpc,single_sim_totaldps,art,kexp,5623.41325190349,Totaldps,1e-09,1e-08,1e-07,1e-06,1e-05,0.0001,100000,40,fus,1000000,meanI,10,stdI,3,dpDistribution,fibonaccimultiple,dpOrientation,radial,dpI_space,normal,dpI_time,artificialPSD,nLayers,5,Settingset: 5,1,86040,1000000,10,3,fibonaccimultiple,radial,normal,artificialPSD
human_scalp,Cortex,10,hpc,single_sim_totaldps,art,kexp,4216.96503428582,Totaldps,1e-09,1e-08,1e-07,1e-06,1e-05,0.0001,100000,40,fus,1000000,meanI,10,stdI,3,dpDistribution,fibonaccimultiple,dpOrientation,radial,dpI_space,normal,dpI_time,artificialPSD,nLayers,10,Settingset: 6,1,86040,1000000,10,3,fibonaccimultiple,radial,normal,artificialPSD
human_cortical,Deep,3,hpc,single_sim_totaldps,art,kexp,299.069756244244,Totaldps,1e-09,1e-08,1e-07,1e-06,1e-05,0.0001,100000,40,fus,1000000,meanI,10,stdI,3,dpDistribution,fibonaccimultiple,dpOrientation,radial,dpI_space,normal,dpI_time,artificialPSD,nLayers,3,Settingset: 7,1,86040,1000000,10,3,fibonaccimultiple,radial,normal,artificialPSD
human_cortical,Deep,5,hpc,single_sim_totaldps,art,kexp,425.277283522742,Totaldps,1e-09,1e-08,1e-07,1e-06,1e-05,0.0001,100000,40,fus,1000000,meanI,10,stdI,3,dpDistribution,fibonaccimultiple,dpOrientation,radial,dpI_space,normal,dpI_time,artificialPSD,nLayers,5,Settingset: 8,1,86040,1000000,10,3,fibonaccimultiple,radial,normal,artificialPSD
human_cortical,Deep,10,hpc,single_sim_totaldps,art,kexp,668.740304976422,Totaldps,1e-09,1e-08,1e-07,1e-06,1e-05,0.0001,100000,40,fus,1000000,meanI,10,stdI,3,dpDistribution,fibonaccimultiple,dpOrientation,radial,dpI_space,normal,dpI_time,artificialPSD,nLayers,10,Settingset: 9,1,86040,1000000,10,3,fibonaccimultiple,radial,normal,artificialPSD
human_cortical,Cortex,3,hpc,single_sim_totaldps,art,kexp,10000,Totaldps,1e-09,1e-08,1e-07,1e-06,1e-05,0.0001,100000,40,fus,1000000,meanI,10,stdI,3,dpDistribution,fibonaccimultiple,dpOrientation,radial,dpI_space,normal,dpI_time,artificialPSD,nLayers,3,Settingset: 10,1,86040,1000000,10,3,fibonaccimultiple,radial,normal,artificialPSD
