SettingSet,HumansScalp,HumanCortical,MouseScalp,Column1
Settingset1,55945.00,100237.45,241.50,1
Settingset2,238748.15,200572.43,4075.64,2
Settingset3,325.77,746.81,2.99,3
Settingset4,45315.79,123916.13,238.11,4
Settingset5,51461.08,110000.00,250.10,5
Settingset6,49984.52,298694.00,263.12,6
Settingset7,175436.51,304837.26,1668.87,7
Settingset8,133082.20,294706.70,1450.08,8
Settingset9,30119.59,87374.21,274.48,9
Settingset10,42442.11,66226.22,257.85,10
Settingset11,31052.59,50515.89,224.54,11
Settingset12,44260.47,48439.23,265.71,12
Settingset13,100000.00,100000.00,483.78,13
