Var1_1,Var1_2,Var2,Var3,Var4,Var5
1.77827941003892e-09,1.24093776075172e-08,Settingset10,NCfixed2,dps35,v2
1e-07,1.43301257023696e-07,Settingset10,NCfixed2,dps79,v2
1e-09,1e-09,Settingset10,NCfixed3,dps35,v2
1e-10,1e-09,Settingset10,NCfixed3,dps35,v3
1e-07,1e-07,Settingset10,NCfixed3,dps79,v2
1e-05,1.15478198468946e-05,Settingset13,NCfixed2,dps35,v2
3.16227766016838e-06,1.07460782832132e-05,Settingset13,NCfixed2,dps35,v3
0.0001,0.000107460782832132,Settingset13,NCfixed2,dps79,v2
1e-05,1e-05,Settingset13,NCfixed3,dps35,v2
1.07460782832132e-07,3.16227766016838e-07,Settingset13,NCfixed3,dps35,v3
0.0001,0.0001,Settingset13,NCfixed3,dps79,v2
0.0001,0.0001,Settingset13,NCfixed3,dps79,v2
1.65481709994318e-07,6.49381631576211e-07,Settingset16,NCfixed2,dps35,v2
1.65481709994318e-06,5.23299114681495e-06,Settingset16,NCfixed2,dps79,v2
1e-07,1e-07,Settingset16,NCfixed3,dps35,v2
6.49381631576211e-09,1.91095297497044e-08,Settingset16,NCfixed3,dps35,v3
1e-06,1e-06,Settingset16,NCfixed3,dps79,v2
2.54829674797935e-07,6.97830584859866e-07,Settingset19,NCfixed2,dps35,v2
2.37137370566166e-06,8.05842187761482e-06,Settingset19,NCfixed2,dps79,v2
1e-07,1e-07,Settingset19,NCfixed3,dps35,v2
8.05842187761482e-09,2.20673406908459e-08,Settingset19,NCfixed3,dps35,v3
1e-06,1e-06,Settingset19,NCfixed3,dps79,v2
1e-05,1.43301257023696e-05,Settingset1,NCfixed2,dps35,v2
3.65174127254838e-06,9.30572040929699e-06,Settingset1,NCfixed2,dps35,v3
3.65174127254838e-05,0.0001,Settingset1,NCfixed2,dps79,v2
1e-05,1e-05,Settingset1,NCfixed3,dps35,v2
1.24093776075172e-07,3.92418975848454e-07,Settingset1,NCfixed3,dps35,v3
1e-05,1e-05,Settingset1,NCfixed3,dps79,v2
1.65481709994318e-08,5.62341325190349e-08,Settingset22,NCfixed2,dps35,v2
1.91095297497044e-07,5.62341325190349e-07,Settingset22,NCfixed2,dps79,v2
1e-08,1e-08,Settingset22,NCfixed3,dps35,v2
1e-09,1.77827941003892e-09,Settingset22,NCfixed3,dps35,v3
1e-07,1e-07,Settingset22,NCfixed3,dps79,v2
1e-07,1e-07,Settingset22,NCfixed3,dps79,v2
1.07460782832132e-07,3.65174127254838e-07,Settingset4,NCfixed2,dps35,v2
1.33352143216332e-06,4.53158363760082e-06,Settingset4,NCfixed2,dps79,v2
1e-07,1e-07,Settingset4,NCfixed3,dps35,v2
3.65174127254838e-09,1.15478198468946e-08,Settingset4,NCfixed3,dps35,v3
1e-06,1e-06,Settingset4,NCfixed3,dps79,v2
2.20673406908459e-06,2.54829674797935e-05,Settingset7,NCfixed2,dps35,v2
0.0001,0.000254829674797935,Settingset7,NCfixed2,dps79,v2
1e-06,1e-06,Settingset7,NCfixed3,dps35,v2
6.97830584859866e-08,1.15478198468946e-06,Settingset7,NCfixed3,dps35,v3
0.0001,0.0001,Settingset7,NCfixed3,dps79,v2
